name,position
DITEX,N605002 E0032911
DITIT,N600416 E0045429
DIXEB,N594118 E0102409
DIXUR,N693133 E0242134
DOKIX,N622234 E0051108
DONEX,N700648 E0240000
DOPUX,N605544 E0073118
DOSAX,N671550 E0150825
DUPPE,N701930 E0222346
DUZOC,N610957 E0115823
EBAMU,N601954 E0084422
EBARI,N651932 E0071857
EDANU,N625105 E0052716
EDAPA,N625513 E0042234
EDEMI,N652555 E0120943
EDEXU,N635810 E0115128
EDIKI,N762645 E0182355
EDIVI,N695821 E0183718
EDUTA,N680752 E0150736
EGAGO,N614033 E0121300
EKDAN,N701230 E0202202
EKDIL,N621214 E0093304
EKLOT,N622926 E0105643
EKMAS,N694013 E0172448
EKMIR,N631832 E0095339
EKMUP,N580206 E0080806
EKNAM,N692119 E0175131
EKPOL,N652331 E0123159
EKRAB,N675909 E0153815
EKRUX,N641754 E0104421
EKTAK,N620000 E0111153
EKTAR,N604843 E0055329
ELBEM,N582120 E0051753
ELDAP,N695827 E0245943
ELDEV,N631353 E0093335
ELDUR,N685738 E0171337
ELGIK,N572934 E0065237
ELKOP,N583500 E0095432
ELKUL,N654119 E0133941
ELRES,N701254 E0161745
ELSEV,N701110 E0225322
ELSID,N643629 E0113629
ELTOL,N630544 E0091956
ELVEN,N682407 E0162018
ELVOM,N594040 E0110730
EMDAL,N593424 E0021337
EMDAM,N655635 E0135222
EMDEG,N622302 E0113647
EMGUS,N585413 E0094605
EMKAV,N694637 E0210835
EMKIN,N655422 E0111936
EMLAS,N602739 E0081427
EMLER,N611057 E0074243
ENENU,N615728 E0082741
ENEXI,N691951 E0254510
ENFOB,N662355 E0092214
ENOVA,N585724 E0101549
ENUPI,N580736 E0062053
EPALU,N630739 E0084914
EPEKO,N563248 E0031242
EPOPU,N700329 E0292531
EPOTU,N595234 E0040427
ERGEV,N643647 E0074627
ERGOP,N604120 E0105003
ERKOR,N640052 E0091720
ERMAP,N675005 E0123544
ERMEG,N625740 E0064546
EROSA,N661330 E0130343
ERPUG,N695217 E0213011
ERSAX,N620735 E0105215
ERSER,N613000 E0000000
ERSES,N632245 E0082307
ERSOK,N633808 E0104037
ESEBA,N600045 E0122332
ESOSI,N583500 E0101624
ETNIG,N633744 E0094624
ETNOR,N603725 E0035743
ETPEM,N591522 E0035100
ETROM,N590305 E0050848
ETUGU,N621116 E0092306
ETURI,N623909 E0101517
ETUVA,N673459 E0144959
EVABO,N680504 E0161052
EVANI,N685733 E0162136
EVBEX,N622609 E0102608
EVGES,N652243 E0083746
EVGOP,N665945 E0072122
EVGUN,N581615 E0100057
EVIBU,N620504 E0105615
