name,position
TOBAX,N602445 E0052137
TOBEB,N601843 E0024218
TOBEX,N613356 E0111252
TOBIT,N620000 E0095557
TOBRU,N632209 E0081453
TOBUR,N591738 E0014249
TOGWI,N564124 E0025544
TOKLA,N700416 E0301615
TOKLI,N653910 E0113217
TONLU,N653203 E0134156
TOPLO,N712000 E0272107
TOPTI,N692829 E0182904
TORMO,N640500 E0120000
TOTKO,N620000 E0085601
TOTVU,N612948 E0042000
TUBNU,N691049 E0160105
TUGTO,N631244 E0101122
TUKMU,N580948 E0074858
TULDA,N691437 E0185803
TUMGU,N595328 E0120112
TUMIM,N614331 E0055532
TURER,N630736 E0082126
TURSI,N593039 E0103254
TUSMO,N632721 E0110936
TUSRU,N590047 E0061559
TUSTA,N621239 E0082556
TUTBI,N620000 E0103851
TUTEG,N622836 E0055322
TUTOP,N620000 E0052712
TUVLA,N675040 E0125333
TUVUN,N690415 E0154913
TUVUS,N612338 E0041908
TUXIL,N592409 E0052700
TUXOT,N635839 E0121917
UBABA,N680402 E0151337
UBEDA,N582518 E0081056
UBELO,N701315 E0212319
UBESI,N685730 E0194018
UBIMO,N693321 E0185546
UBUKI,N700913 E0275552
UDAGA,N634044 E0045935
UDANU,N683505 E0142732
UDSAM,N700101 E0215526
UFGUG,N613912 E0075907
UGDAD,N700759 E0284547
UGDOL,N592606 E0101607
UGMAL,N655735 E0120837
UGMEV,N675532 E0125834
UGMIX,N690635 E0202743
ULANU,N564908 E0023021
ULGEM,N631115 E0084706
ULGIT,N684349 E0150702
ULMAP,N615601 E0110344
ULMUG,N591116 E0093413
ULNIK,N692320 E0175906
ULPAB,N711222 E0253925
ULSOC,N613444 E0022909
ULTAL,N702140 E0200920
ULTET,N681548 E0105216
ULTIV,N694853 E0174018
ULTUL,N654538 E0120852
ULVAN,N602450 E0070645
ULVIR,N613945 E0081920
ULVOS,N593309 E0063926
UMBOR,N631412 E0041358
UMGEL,N661840 E0122602
UMKIP,N631905 E0064811
UMLIR,N671803 E0124210
UMPEP,N704941 E0283324
UMREX,N713245 E0272201
UMSEG,N692356 E0190119
UMTED,N704644 E0201006
UMUME,N592042 E0092215
UMUXU,N564319 E0030555
UNBUD,N580746 E0051029
UNDEL,N631747 E0075120
UNEBU,N621513 E0093324
UNGEP,N705116 E0240025
UNLEX,N602335 E0051104
UNORU,N592329 E0043305
UNPAK,N655232 E0121503
UNPOS,N590545 E0043720
UNSOR,N684923 E0152427
UPDER,N601840 E0051243
UPGER,N660540 E0134840
UPIGO,N582343 E0054623
UPIKA,N621614 E0080956
UPLET,N643224 E0103403
UPLEV,N590605 E0065158
UPLOR,N614454 E0042642
UPODO,N631812 E0100301
UPUGU,N680809 E0144843
UPUPU,N624028 E0055959
URABE,N592220 E0085126
URAKA,N621630 E0103106
URANI,N643706 E0110013
URARU,N614554 E0081110
URIGO,N610110 E0103344
URUDO,N674442 E0101817
URUXA,N680220 E0155000
USAXU,N583814 E0034632
USIKI,N661527 E0152342
USIRA,N663255 E0073608
USSAF,N594231 E0083710
USUPI,N680910 E0151645
USUTI,N585959 E0102100
UTEDO,N622134 E0044211
UTOGI,N580452 E0074354
UTOVA,N665527 E0132610
UTRUF,N610246 E0092030
UTUNA,N624957 E0104213
UVEPI,N632413 E0091226
UVMOK,N684810 E0250953
UVMUL,N624640 E0065140
UVNAL,N614416 E0111051
UVNER,N584524 E0034349
UVSAS,N720500 E0194200
UVSOL,N654717 E0095621
VABOT,N644426 E0125551
VABRU,N650351 E0131322
VADLA,N694506 E0284743
VAKOL,N634508 E0080350
VALAL,N561641 E0032334
VALDI,N611251 E0000000
VALIB,N623538 E0061300
VAMDI,N601313 E0101234
VAMOL,N623716 E0082600
VAMTO,N611728 E0094212
VANAT,N630409 E0100215
VANOS,N692519 E0300140
VARID,N701532 E0313234
VAROT,N703652 E0212558
VASUG,N584747 E0091940
VATAX,N702619 E0174425
VATEB,N604055 E0070741
VATEX,N591903 E0114914
VAVAD,N720000 E0170000
VAVAK,N650505 E0103254
VAVET,N583846 E0084413
VEBIL,N611253 E0021625
VEBUN,N600245 E0055756
VEDUT,N661337 E0125725
VEFLO,N591506 E0050810
VEGAS,N652723 E0114853
VEGUX,N675942 E0141245
VEKAB,N701541 E0291345
VEMAM,N623738 E0052211
VENEM,N605350 E0060520
VEPAT,N685515 E0121110
VEPER,N590636 E0095813
VEPUL,N621203 E0082132
VEPUN,N672729 E0130524
VESIB,N604655 E0025346
VEVOD,N624950 E0111718
VEVUS,N633259 E0041347
VEXOM,N621238 E0104915
VIBIN,N701900 E0284800
VIBON,N692918 E0134922
VIDDE,N702253 E0224434
VIPPA,N585633 E0101343
VITUL,N601937 E0044326
VORXI,N655220 E0120948
VOVIC,N681200 E0152300
XALON,N683632 E0182825
XAMUS,N623730 E0014316
XANET,N613058 E0070251
XAPAN,N684010 E0171922
XAPOR,N694718 E0173411
XAROS,N601652 E0080415
XASUM,N694616 E0135938
XATEN,N632350 E0065829
XAVAS,N672748 E0132819
XEBIL,N634000 E0095500
XEDNO,N652425 E0114945
XEGLA,N671709 E0090518
XEGRO,N695101 E0193801
XEKRA,N645038 E0102715
XELAX,N621056 E0090201
XELRU,N653925 E0065314
XELVI,N612959 E0124004
XEMBA,N650358 E0104711
XEMEB,N590217 E0034406
XENRI,N581739 E0025955
XEPLI,N623925 E0102820
XESLA,N780537 E0164335
XIBMA,N651906 E0131833
XIDMI,N594304 E0115612
XODBA,N654251 E0122059
XUGRO,N581513 E0083654
XUKDI,N602137 E0105000
XUNEV,N654036 E0113500
